uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
3458df20-8222-43c2-ba8f-7c493dff433f,HiFiMan HM-601 MM4,6.24,36.65,1.12
0fdeb185-17e3-41ba-8d69-af9cc4044874,HiFiMan HM-603 Slim,8.09,2.24,10.75
0857bec4-956b-49ef-b0d2-d7ad0de67556,HiFiMan HM-700 Balanced Out,2.57,-14.36,1.17
697c9d0a-f1c1-4071-9f56-5b3535dc0a6c,HiFiMan HM-801 Power Amp Board V2.0,2.08,7.14,18.22
5e87cfa3-9804-44b2-b3c5-545349f374b3,HiFiMan HM-801 Power Amp OCL-A 819-10571 (10 Ohm),7.04,8.68,10.6
039d13a2-0054-42ee-ad97-0d04486ebf1b,HiFiMan HM-801 SM SYMMcard 7.2,11.91,46.69,2.39
43ac4a6f-6d35-4f85-8679-1f5219f84a1f,HiFiMan HM700 Single-ended Out,-2.89,30.95,1.95
01543a76-a899-4756-8b23-456a0e2850c7,iBasso CF01,-15.68,11.59,19.99
573d80a6-3abd-4732-a5f8-92396465b5ed,iBasso D-Zero,-0.95,3.13,0.61
5647b714-ad92-4af8-9534-3fa67ea685d8,iBasso D10 Cobra,-17.76,17.68,1.05
d0775f62-218d-46f0-b023-89cf47fe6bdf,iBasso D14 Bushmaster,8.22,27.6,0.1
947c9f4d-4717-4af8-a35a-dd6d23ef648b,iBasso DC01,5.59,7.7,3.09
ed34978f-4214-46e3-acf6-2382f909db0b,iBasso DC03,6.0,35.42,0.33
ccbdfe70-b80e-4e81-a7d1-c5ee7383e391,iBasso DC04,11.91,25.85,0.16
cfa7691d-6778-4841-8d93-b5d427f77352,iBasso DC05,6.03,25.53,2.56
26ca1586-2f56-437b-a24c-f96987d4f117,iBasso DC06 Balanced Out,12.0,10.26,0.3
23719414-b1be-46dd-b278-a1becca4b128,iBasso DC06 Single-ended Out,5.95,7.65,0.19
6e87ee3c-0356-474f-8b05-811e24332d2b,iBasso DX 170 Balanced Out,15.17,36.2,0.59
01d0cbea-2743-4ef3-8e0a-1b99eddf2225,iBasso DX 170 Single-ended Out,10.14,36.63,0.3
9ffca609-3101-4cb4-8117-8628e12f0bbb,iBasso DX 320 AMP11 Balanced Out,14.83,16.79,0.49
e3bfb116-ab2c-49d8-902b-3a9780071e7c,iBasso DX 320 AMP11 Single-ended Out,8.77,16.39,0.38
59e53356-44dd-41e9-8854-a82f5aa1c988,iBasso DX 320 AMP12,17.94,30.66,2.02
e3863b31-eaec-4886-812f-bad1bff9ff1c,iBasso DX 320 AMP13 Hi Out,9.47,30.66,2.25
71ad7f03-b226-470a-a31e-3760819c36f3,iBasso DX 320 AMP13 Low Out,3.21,22.42,6.06
19804a6f-19b7-4e30-834a-46b2523d9f9e,iBasso DX100,12.89,7.94,0.07
9c41966a-96dc-4473-bf92-d6c8b5c87a5a,iBasso DX120 Balanced Out,10.97,38.89,1.09
644c003a-931b-40c3-ae29-0d6c7eec0578,iBasso DX120 Single-ended Out,4.95,35.84,0.44
e2c57e50-1725-4f3c-b9e9-dbe5b6d0d587,iBasso DX150 AMP6 Balanced Out,12.45,39.74,0.67
2043e1f6-06a4-4bfc-8e43-a438e52c25cb,iBasso DX150 AMP6 Single-ended Out,7.42,35.98,0.33
69023c2c-b8fa-4d34-bd1c-173568c02c85,iBasso DX160 Hi Gain Balanced Out,13.14,40.6,1.3
134a119d-f067-4bfb-b464-726f9cc0d6ad,iBasso DX160 Hi Gain Single-ended Out,8.1,38.42,0.46
7d52885d-2f8b-41cb-b636-6057c4786b5f,iBasso DX200 AMP1 Balanced Out,-2.48,33.11,0.76
0c91872e-2aec-4471-a0eb-c06f0eb16882,iBasso DX200 AMP1 Single-ended Out,-2.53,33.27,0.41
1f731543-d249-4c26-a20d-5dd756da0d82,iBasso DX220 Max Hi Gain Balanced Out,18.58,38.98,2.98
3d724b67-b820-415c-8145-1c2007552619,iBasso DX220 Max Hi Gain Single-ended Out,12.86,32.47,1.35
