uuid,Name,Sensitivity,Sensitivity2,Impedance,acoustic_design,type
b63bf682-29b6-4b17-88b1-6ff2d9fcaaca,Audio-Technica ATH-PRO700,121.87,107.57,37.19,Closed,full
5fb3bdc6-00dc-4c87-aac5-1aabe26e07a3,Audio-Technica ATH-RE70,124.58,111.15,45.45,Closed,earpad
bcc415d2-d8a1-4a8f-8cb9-88c2db9c2e51,Audio-Technica ATH-SJ1,118.84,104.5,36.83,Closed,earpad
f197c81f-c926-4e30-b68a-7ab0116c50bd,Audio-Technica ATH-SJ3,117.29,104.11,48.11,Closed,earpad
7b03febf-120b-40b3-bf8b-4421310214eb,Audio-Technica ATH-T200,117.3,103.86,45.24,Closed,full
93dbec3b-2c96-4e49-a909-cc531426a881,Audio-Technica ATH-T300,118.01,104.32,42.67,Closed,full
833dcb23-bacd-4821-ae20-e9e37b1da691,Audio-Technica ATH-TAD300,118.11,103.95,38.36,Open,full
2e692f06-606c-4882-972d-c7a714e4624b,Audio-Technica ATH-TAD400,114.84,100.49,36.69,Open,full
34575e42-06f1-4bd4-bab1-244ca0eb960a,Audio-Technica ATH-TAD500,116.26,102.02,37.69,Open,full
cc91a58c-3fcb-401e-8af6-21f2f51085fb,Audio-Technica ATH-W1000 Sovereign,118.41,104.59,41.52,Closed,full
328fffcf-3e0a-496c-a518-8fbe19882720,Audio-Technica ATH-W1000X Grandioso,113.75,99.86,40.86,Closed,full
a5036bdd-fa59-41de-b36c-4740dd3b83b0,Audio-Technica ATH-W5000,121.78,108.35,45.43,Closed,full
e18306ae-f847-4d9a-b04d-e15f7d5a2ff1,Audio-Technica ATH-WS50,113.77,100.41,46.16,Closed,earpad
fd5f94ab-c760-4ddc-bb13-ca0e548299a7,Audio-Technica ATH-WS70,118.2,104.89,46.67,Closed,full
c1093e1a-9772-43ff-b231-71f5422eb735,Audio-Technica FAKE ATH-ES3,114.06,99.47,34.76,Closed,earpad
c07800d0-c6f5-4b42-895e-54edb4f5c51f,Audio-Technica FAKE ATH-ES55,106.96,92.18,33.32,Closed,earpad
40dc82a4-a26c-45e9-a00b-1fdf5895a278,Audio-Technica FAKE ATH-ES7,112.83,98.84,39.95,Closed,earpad
f1fa77b8-3ed3-446f-9e8d-47f2ea06fb8b,Audio-Technica FAKE ATH-ES7 2,111.68,96.97,33.84,Closed,earpad
4c9e26e0-48f7-45b8-be7a-8c2804e5e6e9,Audio-Technica FAKE ATH-FC700,111.08,96.33,33.54,Closed,earpad
614c09be-7b41-43fb-8e4d-b94c8cf6c87d,Audiofly AF33,124.07,106.44,17.27,Closed,iem
01d74b75-5e21-4bae-aaf4-b3511de9572a,Audiofly AF45,125.97,108.73,18.86,Closed,iem
7948ff3e-d1f3-4a56-9be8-38a442b843e8,Audiofly AF56,135.23,117.99,18.91,Closed,iem
daceadec-559a-42b0-9adb-fba620722aa7,AudioSense T800,135.02,112.22,5.24,Closed,iem
